Query 3 - Hourly Error Analysis
Generated at: 2026-05-16 19:31:37 IST
Hadoop run_id: 29
Pig run_id: 30
Hive run_id (successful): NONE
Hive last attempted run_id: 36
Hive note: current Hive environment did not produce result rows in q tables yet.

===== Hadoop-MapReduce =====
batch_id	log_date	log_hour	error_request_count	total_request_count	error_rate	distinct_error_hosts
199526	1995-07-01	0	24	3565	0.006732	12
199526	1995-07-01	1	10	3004	0.003329	7
199526	1995-07-01	2	12	2268	0.005291	9
199526	1995-07-01	3	16	1734	0.009227	5
199526	1995-07-01	4	10	1481	0.006752	8
199526	1995-07-01	5	9	1343	0.006701	5
199526	1995-07-01	6	4	1528	0.002618	3
199526	1995-07-01	7	2	1556	0.001285	1
199526	1995-07-01	8	6	1927	0.003114	4
199526	1995-07-01	9	3	2096	0.001431	2
199526	1995-07-01	10	12	3045	0.003941	6
199526	1995-07-01	11	23	3428	0.006709	13
199526	1995-07-01	12	10	2769	0.003611	7
199526	1995-07-01	13	13	3086	0.004213	10
199526	1995-07-01	14	19	3133	0.006064	14
199526	1995-07-01	15	17	3272	0.005196	12
199526	1995-07-01	16	14	3191	0.004387	9
199526	1995-07-01	17	15	3671	0.004086	9
199526	1995-07-01	18	15	3192	0.004699	11
199526	1995-07-01	19	16	2831	0.005652	11
199526	1995-07-01	20	10	2958	0.003381	8
199526	1995-07-01	21	24	3502	0.006853	12
199526	1995-07-01	22	18	3277	0.005493	12
199526	1995-07-01	23	13	2853	0.004557	7
199526	1995-07-02	0	20	2858	0.006998	11
199526	1995-07-02	1	15	2570	0.005837	9
199526	1995-07-02	2	8	2056	0.003891	4
199526	1995-07-02	3	7	1505	0.004651	5
199526	1995-07-02	4	2	1286	0.001555	2
199526	1995-07-02	5	3	1291	0.002324	3
199526	1995-07-02	6	10	1293	0.007734	4
199526	1995-07-02	7	8	1229	0.006509	6
199526	1995-07-02	8	16	1430	0.011189	2
199526	1995-07-02	9	14	1895	0.007388	8
199526	1995-07-02	10	7	2124	0.003296	5
199526	1995-07-02	11	9	2450	0.003673	7
199526	1995-07-02	12	14	3106	0.004507	8
199526	1995-07-02	13	12	2915	0.004117	6
199526	1995-07-02	14	11	3062	0.003592	6
199526	1995-07-02	15	14	2738	0.005113	10
199526	1995-07-02	16	32	3155	0.010143	14
199526	1995-07-02	17	4	3537	0.001131	4
199526	1995-07-02	18	15	3186	0.004708	8
199526	1995-07-02	19	9	2790	0.003226	8
199526	1995-07-02	20	10	2961	0.003377	5
199526	1995-07-02	21	11	3381	0.003253	8
199526	1995-07-02	22	15	3728	0.004024	7
199526	1995-07-02	23	28	3714	0.007539	10
199527	1995-07-03	0	15	3016	0.004973	11
199527	1995-07-03	1	8	2395	0.00334	5
199527	1995-07-03	2	8	2201	0.003635	6
199527	1995-07-03	3	6	2041	0.00294	6
199527	1995-07-03	4	7	1539	0.004548	5
199527	1995-07-03	5	7	1750	0.004	3
199527	1995-07-03	6	6	1703	0.003523	4
199527	1995-07-03	7	17	2862	0.00594	9
199527	1995-07-03	8	14	3671	0.003814	11
199527	1995-07-03	9	58	4794	0.012098	18
199527	1995-07-03	10	72	4519	0.015933	16
199527	1995-07-03	11	17	4790	0.003549	12
199527	1995-07-03	12	21	5535	0.003794	17
199527	1995-07-03	13	15	6013	0.002495	14
199527	1995-07-03	14	36	5508	0.006536	18
199527	1995-07-03	15	27	5610	0.004813	18
199527	1995-07-03	16	29	5388	0.005382	12
199527	1995-07-03	17	38	4545	0.008361	18
199527	1995-07-03	18	13	3444	0.003775	7
199527	1995-07-03	19	20	3712	0.005388	13
199527	1995-07-03	20	17	3760	0.004521	12
199527	1995-07-03	21	19	3832	0.004958	9
199527	1995-07-03	22	18	3197	0.00563	12
199527	1995-07-03	23	37	3713	0.009965	15
199527	1995-07-04	0	11	3141	0.003502	7
199527	1995-07-04	1	20	2821	0.00709	12
199527	1995-07-04	2	10	2530	0.003953	7
199527	1995-07-04	3	9	1993	0.004516	4
199527	1995-07-04	4	0	1743	0	0
199527	1995-07-04	5	8	1730	0.004624	5
199527	1995-07-04	6	5	1709	0.002926	5
199527	1995-07-04	7	3	2172	0.001381	3
199527	1995-07-04	8	13	3006	0.004325	12
199527	1995-07-04	9	12	3058	0.003924	9
199527	1995-07-04	10	17	3582	0.004746	11
199527	1995-07-04	11	29	3583	0.008094	10
199527	1995-07-04	12	11	3402	0.003233	7
199527	1995-07-04	13	18	3550	0.00507	15
199527	1995-07-04	14	19	3278	0.005796	11
199527	1995-07-04	15	23	4174	0.00551	17
199527	1995-07-04	16	30	3579	0.008382	14
199527	1995-07-04	17	17	3693	0.004603	10
199527	1995-07-04	18	41	2912	0.01408	9
199527	1995-07-04	19	3	2955	0.001015	3
199527	1995-07-04	20	10	2683	0.003727	6
199527	1995-07-04	21	13	2671	0.004867	7
199527	1995-07-04	22	12	2941	0.00408	7
199527	1995-07-04	23	27	3538	0.007631	13
199527	1995-07-05	0	25	2505	0.00998	10
199527	1995-07-05	1	34	2032	0.016732	10
199527	1995-07-05	2	8	1933	0.004139	7
199527	1995-07-05	3	8	1998	0.004004	3
199527	1995-07-05	4	4	1479	0.002705	3
199527	1995-07-05	5	4	1634	0.002448	2
199527	1995-07-05	6	5	1821	0.002746	5
199527	1995-07-05	7	15	2996	0.005007	4
199527	1995-07-05	8	29	3824	0.007584	11
199527	1995-07-05	9	20	4456	0.004488	13
199527	1995-07-05	10	21	4974	0.004222	12
199527	1995-07-05	11	13	6175	0.002105	13
199527	1995-07-05	12	23	6164	0.003731	15
199527	1995-07-05	13	8	5115	0.001564	8
199527	1995-07-05	14	32	8034	0.003983	18
199527	1995-07-05	15	39	6757	0.005772	16
199527	1995-07-05	16	35	7211	0.004854	22
199527	1995-07-05	17	17	4726	0.003597	8
199527	1995-07-05	18	31	4241	0.00731	16
199527	1995-07-05	19	22	3988	0.005517	13
199527	1995-07-05	20	21	3134	0.006701	9
199527	1995-07-05	21	9	3137	0.002869	5
199527	1995-07-05	22	26	3206	0.00811	14
199527	1995-07-05	23	49	3032	0.016161	11
199527	1995-07-06	0	24	2658	0.009029	16
199527	1995-07-06	1	38	1948	0.019507	6
199527	1995-07-06	2	5	1805	0.00277	5
199527	1995-07-06	3	2	1539	0.0013	2
199527	1995-07-06	4	6	1429	0.004199	3
199527	1995-07-06	5	7	1652	0.004237	5
199527	1995-07-06	6	14	1830	0.00765	8
199527	1995-07-06	7	6	2755	0.002178	6
199527	1995-07-06	8	15	4199	0.003572	10
199527	1995-07-06	9	23	5011	0.00459	18
199527	1995-07-06	10	49	5815	0.008426	26
199527	1995-07-06	11	36	6422	0.005606	23
199527	1995-07-06	12	56	6405	0.008743	22
199527	1995-07-06	13	23	6926	0.003321	18
199527	1995-07-06	14	30	6923	0.004333	21
199527	1995-07-06	15	37	7061	0.00524	20
199527	1995-07-06	16	36	6678	0.005391	16
199527	1995-07-06	17	33	5479	0.006023	22
199527	1995-07-06	18	30	4786	0.006268	19
199527	1995-07-06	19	32	4227	0.00757	16
199527	1995-07-06	20	27	4060	0.00665	20
199527	1995-07-06	21	37	3479	0.010635	25
199527	1995-07-06	22	43	3961	0.010856	31
199527	1995-07-06	23	32	3908	0.008188	17
199527	1995-07-07	0	13	2691	0.004831	11
199527	1995-07-07	1	18	2638	0.006823	6
199527	1995-07-07	2	15	2189	0.006852	9
199527	1995-07-07	3	12	1590	0.007547	5
199527	1995-07-07	4	15	1361	0.011021	7
199527	1995-07-07	5	6	959	0.006257	4
199527	1995-07-07	6	8	1168	0.006849	6
199527	1995-07-07	7	10	2320	0.00431	8
199527	1995-07-07	8	32	4841	0.00661	20
199527	1995-07-07	9	25	5406	0.004624	17
199527	1995-07-07	10	30	5938	0.005052	20
199527	1995-07-07	11	29	6535	0.004438	18
199527	1995-07-07	12	24	6784	0.003538	17
199527	1995-07-07	13	39	5962	0.006541	22
199527	1995-07-07	14	24	4705	0.005101	19
199527	1995-07-07	15	37	5752	0.006433	15
199527	1995-07-07	16	42	5449	0.007708	22
199527	1995-07-07	17	32	4998	0.006403	18
199527	1995-07-07	18	34	3332	0.010204	17
199527	1995-07-07	19	27	2550	0.010588	13
199527	1995-07-07	20	15	2680	0.005597	13
199527	1995-07-07	21	24	2450	0.009796	14
199527	1995-07-07	22	32	2462	0.012998	13
199527	1995-07-07	23	24	2447	0.009808	14
199527	1995-07-08	0	23	2386	0.00964	13
199527	1995-07-08	1	12	1707	0.00703	8
199527	1995-07-08	2	22	1279	0.017201	10
199527	1995-07-08	3	4	877	0.004561	3
199527	1995-07-08	4	2	648	0.003086	2
199527	1995-07-08	5	5	865	0.00578	5
199527	1995-07-08	6	1	794	0.001259	1
199527	1995-07-08	7	2	894	0.002237	2
199527	1995-07-08	8	2	1010	0.00198	2
199527	1995-07-08	9	10	1276	0.007837	6
199527	1995-07-08	10	11	1868	0.005889	5
199527	1995-07-08	11	16	1558	0.01027	6
199527	1995-07-08	12	19	1714	0.011085	9
199527	1995-07-08	13	8	1914	0.00418	7
199527	1995-07-08	14	25	2387	0.010473	13
199527	1995-07-08	15	16	1985	0.00806	9
199527	1995-07-08	16	25	2346	0.010656	8
199527	1995-07-08	17	19	2325	0.008172	9
199527	1995-07-08	18	20	1789	0.011179	7
199527	1995-07-08	19	12	1783	0.00673	5
199527	1995-07-08	20	9	1669	0.005392	4
199527	1995-07-08	21	17	1875	0.009067	8
199527	1995-07-08	22	13	1901	0.006839	9
199527	1995-07-08	23	6	2011	0.002984	5
199527	1995-07-09	0	11	1593	0.006905	10
199527	1995-07-09	1	9	1515	0.005941	5
199527	1995-07-09	2	25	1234	0.020259	7
199527	1995-07-09	3	7	1007	0.006951	6
199527	1995-07-09	4	16	770	0.020779	10
199527	1995-07-09	5	0	397	0	0
199527	1995-07-09	6	7	442	0.015837	2
199527	1995-07-09	7	3	484	0.006198	2
199527	1995-07-09	8	0	708	0	0
199527	1995-07-09	9	10	1067	0.009372	4
199527	1995-07-09	10	18	1272	0.014151	6
199527	1995-07-09	11	19	1936	0.009814	8
199527	1995-07-09	12	11	1838	0.005985	7
199527	1995-07-09	13	13	1634	0.007956	8
199527	1995-07-09	14	13	2041	0.006369	6
199527	1995-07-09	15	19	1759	0.010802	8
199527	1995-07-09	16	18	2225	0.00809	11
199527	1995-07-09	17	15	1838	0.008161	11
199527	1995-07-09	18	19	1730	0.010983	9
199527	1995-07-09	19	26	1681	0.015467	16
199527	1995-07-09	20	34	2309	0.014725	19
199527	1995-07-09	21	26	2161	0.012031	9
199527	1995-07-09	22	21	1852	0.011339	9
199527	1995-07-09	23	8	1768	0.004525	7
199528	1995-07-10	0	6	1841	0.003259	3
199528	1995-07-10	1	7	1522	0.004599	3
199528	1995-07-10	2	8	1298	0.006163	7
199528	1995-07-10	3	1	906	0.001104	1
199528	1995-07-10	4	1	785	0.001274	1
199528	1995-07-10	5	5	773	0.006468	4
199528	1995-07-10	6	4	1223	0.003271	4
199528	1995-07-10	7	5	1533	0.003262	3
199528	1995-07-10	8	16	2908	0.005502	8
199528	1995-07-10	9	19	3802	0.004997	10
199528	1995-07-10	10	11	4219	0.002607	8
199528	1995-07-10	11	33	4912	0.006718	13
199528	1995-07-10	12	28	5033	0.005563	15
199528	1995-07-10	13	15	4464	0.00336	11
199528	1995-07-10	14	31	5102	0.006076	18
199528	1995-07-10	15	41	5314	0.007715	16
199528	1995-07-10	16	24	5138	0.004671	14
199528	1995-07-10	17	23	4541	0.005065	15
199528	1995-07-10	18	19	3464	0.005485	10
199528	1995-07-10	19	15	3226	0.00465	9
199528	1995-07-10	20	16	2806	0.005702	12
199528	1995-07-10	21	22	2728	0.008065	17
199528	1995-07-10	22	20	2820	0.007092	8
199528	1995-07-10	23	27	2495	0.010822	11
199528	1995-07-11	0	21	1968	0.010671	12
199528	1995-07-11	1	36	1536	0.023438	8
199528	1995-07-11	2	12	1235	0.009717	3
199528	1995-07-11	3	8	1286	0.006221	6
199528	1995-07-11	4	9	1107	0.00813	6
199528	1995-07-11	5	3	1113	0.002695	2
199528	1995-07-11	6	8	1290	0.006202	6
199528	1995-07-11	7	17	2569	0.006617	9
199528	1995-07-11	8	29	3607	0.00804	14
199528	1995-07-11	9	18	3581	0.005027	8
199528	1995-07-11	10	15	4467	0.003358	5
199528	1995-07-11	11	19	4734	0.004014	14
199528	1995-07-11	12	15	5503	0.002726	6
199528	1995-07-11	13	21	5324	0.003944	11
199528	1995-07-11	14	64	6061	0.010559	16
199528	1995-07-11	15	38	5606	0.006778	16
199528	1995-07-11	16	15	5546	0.002705	12
199528	1995-07-11	17	30	4480	0.006696	16
199528	1995-07-11	18	16	3909	0.004093	10
199528	1995-07-11	19	25	3607	0.006931	13
199528	1995-07-11	20	17	3268	0.005202	12
199528	1995-07-11	21	11	2784	0.003951	8
199528	1995-07-11	22	18	2857	0.0063	11
199528	1995-07-11	23	5	2878	0.001737	4
199528	1995-07-12	0	6	2318	0.002588	4
199528	1995-07-12	1	9	1958	0.004597	7
199528	1995-07-12	2	8	2033	0.003935	4
199528	1995-07-12	3	1	1458	0.000686	1
199528	1995-07-12	4	1	1478	0.000677	1
199528	1995-07-12	5	4	1437	0.002784	3
199528	1995-07-12	6	4	1831	0.002185	4
199528	1995-07-12	7	12	2412	0.004975	7
199528	1995-07-12	8	8	3916	0.002043	6
199528	1995-07-12	9	9	4774	0.001885	8
199528	1995-07-12	10	82	5239	0.015652	13
199528	1995-07-12	11	28	6020	0.004651	18
199528	1995-07-12	12	40	5969	0.006701	20
199528	1995-07-12	13	28	6449	0.004342	19
199528	1995-07-12	14	20	6292	0.003179	12
199528	1995-07-12	15	30	5531	0.005424	20
199528	1995-07-12	16	26	4972	0.005229	14
199528	1995-07-12	17	30	4682	0.006408	14
199528	1995-07-12	18	24	4342	0.005527	15
199528	1995-07-12	19	18	3553	0.005066	11
199528	1995-07-12	20	15	4139	0.003624	8
199528	1995-07-12	21	28	3710	0.007547	12
199528	1995-07-12	22	21	4013	0.005233	13
199528	1995-07-12	23	12	3703	0.003241	8
199528	1995-07-13	0	20	3320	0.006024	12
199528	1995-07-13	1	20	3308	0.006046	9
199528	1995-07-13	2	4	2934	0.001363	3
199528	1995-07-13	3	13	2484	0.005233	6
199528	1995-07-13	4	5	2158	0.002317	5
199528	1995-07-13	5	15	2667	0.005624	7
199528	1995-07-13	6	11	3648	0.003015	7
199528	1995-07-13	7	11	6022	0.001827	8
199528	1995-07-13	8	30	11540	0.0026	19
199528	1995-07-13	9	31	14911	0.002079	19
199528	1995-07-13	10	38	10211	0.003721	25
199528	1995-07-13	11	75	9747	0.007695	18
199528	1995-07-13	12	19	8529	0.002228	15
199528	1995-07-13	13	20	7327	0.00273	15
199528	1995-07-13	14	38	7478	0.005082	17
199528	1995-07-13	15	41	7296	0.00562	17
199528	1995-07-13	16	37	7149	0.005176	21
199528	1995-07-13	17	10	3585	0.002789	9
199528	1995-07-13	18	13	4551	0.002857	6
199528	1995-07-13	19	7	2268	0.003086	4
199528	1995-07-13	20	30	2365	0.012685	11
199528	1995-07-13	21	6	3682	0.00163	5
199528	1995-07-13	22	20	3351	0.005968	8
199528	1995-07-13	23	12	3420	0.003509	9
199528	1995-07-14	0	14	3227	0.004338	8
199528	1995-07-14	1	8	2155	0.003712	6
199528	1995-07-14	2	7	1995	0.003509	5
199528	1995-07-14	3	5	1966	0.002543	3
199528	1995-07-14	4	5	1412	0.003541	3
199528	1995-07-14	5	10	1902	0.005258	7
199528	1995-07-14	6	5	1657	0.003018	4
199528	1995-07-14	7	9	2991	0.003009	6
199528	1995-07-14	8	13	3982	0.003265	8
199528	1995-07-14	9	36	4862	0.007404	18
199528	1995-07-14	10	20	5313	0.003764	14
199528	1995-07-14	11	22	4738	0.004643	14
199528	1995-07-14	12	20	4835	0.004137	14
199528	1995-07-14	13	34	5624	0.006046	17
199528	1995-07-14	14	27	5115	0.005279	14
199528	1995-07-14	15	36	5318	0.006769	14
199528	1995-07-14	16	14	5300	0.002642	12
199528	1995-07-14	17	48	4157	0.011547	13
199528	1995-07-14	18	13	3140	0.00414	9
199528	1995-07-14	19	8	3332	0.002401	6
